Name,Languages,Translated (Words),Target Words,Approved (Words),Votes Made
Jeraru MC (gerardmarquina),Spanish,34,31,0,0
Abhijeet Bohra (notabhijeet),Hindi,31,61,0,0
ezzkht,Arabic,31,37,0,0
Ahmed (ahmed123t),Arabic,29,27,0,0
The Tube (enokack),Portuguese,27,28,0,0
Robertus Arie (RieTech),Indonesian,27,22,0,0
Miko Moron (mikomoron),Swedish,27,22,0,0
azumukupoe (azumukupoe1999),Japanese,26,89,0,0
nicola e andrea marcheschi (erasernicola),Italian,25,22,0,2
IsidroP,Spanish,24,26,0,0
李涛 (crixec),Chinese Simplified,24,36,0,0
Igor 'sdir01' Ryzhenkov (sdir01),Russian,23,23,0,0
takumintchan,Japanese,22,86,0,0
SerJo87,Russian,22,20,0,0
Koek Hoi (bragra),Dutch,22,21,0,0
Jesus R (KrapK) (jesusroldanroldan),Spanish,21,22,0,0
Mattia Carnevale (mattykarne),Italian,21,22,0,0
Márk Kaszás (kaszasm),Hungarian,21,13,0,0
Wout Huygens (lenkadubois),Dutch,20,19,0,0
MingXuan Hsu (minshanzen),Chinese Traditional,20,44,0,0
Alex Kalles (alexakis1997),Greek,18,18,0,0
Умидбек Хазратов (umidbek_97),Russian,18,10,0,5
Wai Chang (wchang614),Chinese Simplified,17,15,0,0
NEZ aka SUPERMAN (Francesco De Feo) (fracazzo1995),Italian,17,17,0,0
tetsuo55,Dutch,16,12,0,0
Christian Schuler (christian_carro),Portuguese,16,18,0,23
muhammedb,Turkish,13,13,0,0
Mariø Gømez (mario6632),Spanish,13,25,0,0
Stefano (towerman),Italian,12,12,0,4
luca stracquadanio (lucastracquadanio),Italian,11,12,0,0
ztswyf,Chinese Simplified,11,8,0,4
Mirosław Recki (mirek771018),Polish,11,10,0,0
Marcia Orozco (orozcomarcia3),Spanish,11,14,0,0
Vladimir  Burylov (Vovan77rus59),Russian,10,11,0,0
Régis SIMEON (rage57frth),French,10,11,0,0
Handsome Fox (handsomefoxhf),Russian,10,10,0,0
youngzy,Chinese Simplified,9,12,0,1
Flávio Ribeiro (fribeiromgf),Portuguese,9,14,0,0
Mirko Weser (fraz140),German,9,8,0,0
ejnshtein,Russian,9,6,0,47
Leo Grignafini (leogrignafini),Spanish,8,8,0,4
M (moookino),Russian,8,5,0,0
fakemmmmm,Hebrew,8,9,0,0
Bruno Rodriguez (gatoratoloco),Spanish,7,1,0,0
Dhamara R (hollowist13),Indonesian,7,7,0,0
Daniel Mladek (danielmladek),German,6,8,0,0
Mipirakas,Dutch,5,5,0,0
Eslam Hamdy (espro448),Arabic,5,4,0,0
Max (Maxr1998),German,5,2,0,1
aleksandr Prokoshin (prokoshin.aleksandr),Russian,5,5,0,0
Preet Patel (preetm1234),Hindi,5,5,0,0
Pasakalis George (GML38),Greek,5,5,0,0
Alex M (beroid3),Russian,4,4,0,0
Shrralis,Ukrainian,4,4,0,0
linar10,Polish,4,4,0,0
政府關員（sean22922） (e38630),Chinese Traditional,4,7,0,0
Iskan Ivanov (iskan998979145561),Russian,4,4,0,0
Jesus Olayo (jesusolayo),Spanish,3,3,0,0
Damian Cabrio (thesaurus1233),Spanish,3,4,0,0
jagDanJu,German,3,4,0,0
Sascha Nesterovic (nesterovic5),German; Serbian (Cyrillic),3,3,0,4
Arju,Swedish,3,3,0,0
Денис Логинов (denis13266875),Russian,3,3,0,0
Whoopie (whoopie79),German,2,3,0,0
FXVNDER (djjotaremix),Portuguese,2,3,0,0
Neelkanth Dabhi (yoursdabhineelkanth),Hindi,2,5,0,0
দদদদ (Zero_),Indonesian,2,3,0,0
Benny I (contigo110985),German,2,1,0,0
Vytautas Vanagas (vykintazo),Lithuanian,2,2,0,2
Rafał Gajek (psejta),Polish,2,2,0,0
Morshedul Alam (morshedintouch),Bengali,2,5,0,0
svandasek,Czech,2,3,0,0
Kulo Kenci (kulokenci),Indonesian,2,2,0,0
George Arapatsakos (G511),Russian,1,1,0,4
霍张启 (h947136),Chinese Simplified,1,4,0,4
Burak Dede (TheNexus),Turkish,1,1,0,0
Alex (bigo72),Italian,1,1,0,0
lazzaroboca (Lazarozb),Portuguese,1,1,0,0
Willem Li (willemq),Dutch,1,1,0,0
psydex,,0,0,0,0
lh900519,Chinese Simplified,0,0,0,2
1315142486,,0,0,0,0
Xineios,Italian,0,0,0,1
Klaus Kirnbauer (kirnbauer),German,0,0,0,4
LithuanianTranslater,Lithuanian,0,0,0,3
Patryk Świech (djpatrio),Polish,0,0,0,3
Allen Hu (allenhu1029),Chinese Traditional,0,0,0,1
winginmars,Chinese Simplified,0,0,0,5
Trung Đoàn (trungdoan2507),,0,0,0,0
Edivar Felipe (edivarfelipe),Portuguese,0,0,0,6
Adrian Fuller (adrianfuller1990),,0,0,0,0
邰杰勇 (taijy268),Chinese Simplified,0,0,0,1
milan297,German,0,0,0,1
Niklas (niklas389),German,0,0,0,1
Jens Herrmann (jensherrmann09),German,0,0,0,1
Daniel Patrón Gómez (DaniOurGamer) (daniourgamer),Spanish,0,0,0,16
GreekDragon (Alex) (GreekDragon),,0,0,0,0
rosamarco,Italian,0,0,0,1
anrc (githtz),German,0,0,0,3
Matthias Stoch (matthias.stoch),German,0,0,0,1
Philip Witt (dabenzel),German,0,0,0,10
Michele Amendolagine (mikel87),Italian,0,0,0,7
So_Nevable (end_is_imminent),Russian,0,0,0,1
Aras TOPÇU (arastopcu15),Turkish,0,0,0,402
Hootan Baraary (Vampir3),,0,0,0,0
Vivek S (vivekspathil),,0,0,0,0
David Sn (divadsn),Polish,0,0,0,1
C0nverter,Polish,0,0,0,1
Harsh Shandilya (MSF-Jarvis),,0,0,0,0
Ky0n (ky0ncheng),Chinese Simplified,0,0,0,1
Alessio Barretta (barrettaalessio),Italian,0,0,0,1
Michele Bertozzi (bertozzi243),Italian,0,0,0,4
Yun Liu (liuyun97),,0,0,0,0
พสธร ปาระเคน (nooy25344),,0,0,0,0
梁灿耀 (yezizhai),Chinese Simplified,0,0,0,177
Stefano Spada (pappaq),Italian,0,0,0,2
Paolo Giubilato (giubilato95),Italian,0,0,0,1
Junephel,,0,0,0,0
